,0
0,0.030143104562836576
1,1.2178956549864193
2,0.22174039758042496
3,-0.7375016198863994
4,0.767654571918874
5,-0.9835898861475223
6,-0.48036449269110465
7,-0.39348026807238123
8,-0.45776454987120424
9,0.6212571645410856
10,0.16072055196669782
11,1.6990233265744905
12,-1.1789538363017604
13,-0.6046641782005467
14,-0.6649306923869455
15,-1.6887081021283707
16,-1.2585558571229594
17,1.0134917277042208
18,0.8718654193661876
19,-0.9075034119871954
20,0.40329327156694605
21,-1.2249070533688888
22,0.3786844449408339
23,-0.6589040409683069
24,1.3221065024337293
25,-0.06377221337763266
26,2.039278021251859
27,-0.3543070338512226
28,-1.6387371174488172
29,1.7931897549907359
30,-0.9886120956630555
31,-0.5993908582092383
32,1.280422163454805
33,-1.0652007907749352
34,-0.9371344481288391
35,-0.05397890482234234
36,1.7188610541608456
37,-0.8861590215461792
38,-1.3170645979789197
39,0.31465127361778794
40,0.6945814234678679
41,-0.8233814026020148
42,-0.9230722614853483
43,1.3786063594834772
44,1.2761532853666038
45,-1.047371946994792
46,1.0155006115104352
47,-0.12680094279757326
48,1.175457984580163
49,0.6456148806914198
50,0.024618674095750203
